                       precision    recall  f1-score     support
apprentice              1.000000  0.333333  0.500000    3.000000
assistant               0.392857  0.440000  0.415094   25.000000
associate               0.000000  0.000000  0.000000    4.000000
board                   0.000000  0.000000  0.000000    1.000000
chief                   0.000000  0.000000  0.000000    2.000000
coordinator             0.000000  0.000000  0.000000    0.000000
deputy                  1.000000  0.500000  0.666667    2.000000
director                0.000000  0.000000  0.000000    2.000000
entry level             0.257143  0.180000  0.211765   50.000000
entry level assistant   0.000000  0.000000  0.000000    0.000000
entry-level             0.000000  0.000000  0.000000    2.000000
executive               0.000000  0.000000  0.000000    3.000000
experienced             0.463277  0.491018  0.476744  167.000000
experienced assistant   0.000000  0.000000  0.000000    1.000000
general-manager         0.000000  0.000000  0.000000    0.000000
graduate                0.000000  0.000000  0.000000    5.000000
graduate/junior         0.000000  0.000000  0.000000    1.000000
head                    0.272727  0.200000  0.230769   15.000000
intermediate            0.268293  0.284483  0.276151  116.000000
junior                  0.222222  0.181818  0.200000   11.000000
lead                    0.095238  0.086957  0.090909   23.000000
manager                 0.000000  0.000000  0.000000    2.000000
mid-level               0.000000  0.000000  0.000000    1.000000
mid-senior              0.000000  0.000000  0.000000    1.000000
principal               0.000000  0.000000  0.000000    3.000000
qualified               0.000000  0.000000  0.000000    1.000000
senior                  0.425743  0.472527  0.447917   91.000000
senior associate        0.000000  0.000000  0.000000    1.000000
specialist              0.000000  0.000000  0.000000    1.000000
student                 0.000000  0.000000  0.000000    1.000000
supervisor              0.000000  0.000000  0.000000    1.000000
trainee                 0.500000  0.250000  0.333333    4.000000
accuracy                0.348148  0.348148  0.348148    0.348148
macro avg               0.153047  0.106879  0.120292  540.000000
weighted avg            0.343771  0.348148  0.343139  540.000000
