y_true,y_pred
1500-1800-MYR-MONTHLY,1500-1800-MYR-MONTHLY
60-60-HKD-HOURLY,40-40-HKD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
21-21-NZD-HOURLY,21-21-NZD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
32-32-AUD-HOURLY,32-32-AUD-HOURLY
2000-3000-MYR-MONTHLY,1500-3000-MYR-MONTHLY
3000-4000-MYR-MONTHLY,3000-4000-MYR-MONTHLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
80-90-HKD-HOURLY,80-90-HKD-HOURLY
142642-156491-AUD-ANNUAL,142642-156491-AUD-
0-0-None-None,0-0-None-None
29-29-AUD-HOURLY,29-29-AUD-HOURLY
1500-2500-MYR-MONTHLY,1500-2500-MYR-MONTHLY
66028-68086-AUD-ANNUAL,66027-68086-AUD-ANNU
0-0-None-None,0-0-None-None
3000-4000-SGD-MONTHLY,3000-4000-SGD-MONTHLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
73-85-HKD-HOURLY,73-85-HKD-HOURLY
5000-8000-MYR-MONTHLY,5000-8000-MYR-MONTHLY
30-30-NZD-HOURLY,0-0-None-None
0-0-None-None,0-0-None-None
500-1250-SGD-WEEKLY,500-1250-SGD-WEEKLY
1500-1500-MYR-MONTHLY,1500-1500-MYR-MONTHLY
750-1125-SGD-WEEKLY,750-1125-SGD-WEEKLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
1500-1500-MYR-MONTHLY,1500-1500-MYR-MONTHLY
2000-2500-SGD-MONTHLY,2000-2500-SGD-MONTHLY
58008-58008-AUD-ANNUAL,58008-58008-AUD-ANNU
23-29-NZD-HOURLY,23-29-NZD-HOURLY
3000-6000-MYR-MONTHLY,3000-6000-MYR-MONTHLY
31-31-NZD-HOURLY,31-31-NZD-HOURLY
100-100-HKD-HOURLY,100-100-HKD-HOURLY
500-667-PHP-DAILY,500-667-PHP-DAILY
107-150-SGD-DAILY,107-150-SGD-DAILY
