job_id,job_title,job_ad_details,nation_short_desc,y_true_claude,y_true_gpt4.1,y_true_gemini2.5
2,EL1 Annual Report Coordinator,"<HTML><p>We are looking for self starters who can project manage, coordinate and create an annual report!<br> <br> <strong>Your new company</strong><br> Demonstrate your project management expertise in this Annual Report role within a portfolio agency. This is a small and collaborative team within a statutory authority focusing on the planning and the development of their Annual Report.<br> <br> <strong>Your new role</strong><br> You will take lead in the development and coordination of this organisations Annual Report.<br> This will include:</p><ul><li>liaising with key areas of the organisation, writing and reviewing the content of these key documents</li><li>working with the design team to get the documents ready for tabling and publication.</li><li>proactively managing issues as required to deliver projects on time and on budget.</li></ul><p><br> <strong>What you'll need to succeed</strong><br> We are seeking an individual with previous experience in putting together an annual report. Strong project management and writing skills, along with the ability to effectively manage key stakeholders will ensure that you succeed in this position.<br> <br> <strong>What you'll get in return</strong><br> In return,, click 'apply now' to forward an up-to-date copy of your CV, or call us now.<br> If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career.</p></HTML>",AUS,OnSite,Hybrid,OnSite
92,"Harvest Casuals- Central West, NSW","<div><div>
 
 <div>
 <div>
 <div>
 
 <p>Loading…</p>
 </div>
 </div>
 </div>
 
 
 
 
</div></div>",AUS,OnSite,Unknown,Unknown
142,National Retail Sales Manager,"<p><strong>Help connect a country of good sorts</strong></p><p><strong>National Retail Sales Manager</strong></p><p><strong>Here's what you'll do in this job:</strong></p><ul><li>Oversee tactical plan development, compensation programs, and sales objectives for the retail channels</li><li>Ensure the retail channel drive NPS &amp; Customer experience through a sales focus for all product &amp; promotional builds</li><li>Work with partner vendors and internal teams to develop ongoing tactical offers and incentives for both Network and handset offers</li><li>Create sales and customer retention programs benefiting the customer,Unknown,Unknown, executive engagement and business/industry networking will stand you in good stead with this role. You'll be a whizz at strategy development and execution and use your excellent relationship building skills to manage multiple stakeholder expectations.</p><p><strong>Sound fair? Let's chat.</strong></p><p><strong>2degrees. It's time for something different.</strong></p>",NZ,Hybrid,OnSite,Hybrid
187,Kaitohutohu Mātāmua Ako/Whanaketanga,"<strong>Kia &#363;kaip&#333; an&#333; te reo M&#257;ori: </strong><br /> Koinei te t&#363;rua p&#333; o te rautaki reo M&#257;ori hou e k&#299;ia nei ko Te Maihi M&#257;ori, he mea waihanga e ng&#257;i M&#257;ori m&#257; ng&#257; k&#257;inga, ng&#257;&nbsp;hapori me ng&#257; iwi.<br /> <br /> I te t&#299;matanga o te tau 2017 i hui tahi Te Ma&#772;ta&#772;wai me ng&#257; r&#333;p&#363; whai p&#257;nga huri noa i te motu ki te kohi haere i ng&#257; k&#333;rero m&#333; ng&#257; kaupapa reo M&#257;ori kei ng&#257; k&#257;inga, ng&#257; hapori; ng&#257; wawata kei a r&#257;tou e p&#257; ana ki te reo M&#257;ori,Hybrid, whanaketanga, whakangungu hoki m&#257; ng&#257; kaimahi, ng&#257; mema o te Poari me ng&#257; Pae Motuhake. Ko t&#257;u mahi he k&#333;kiri i &#275;tahi h&#299;raunga ako hou kia kairangi ake nei, m&#257; roto i ng&#257; rautaki maha. &#256;p&#257; noa atu, ko ng&#257; kauhau tuihono &#275;r&#257;, ko ng&#257; papamahi, ko ng&#257; k&#333;wae ako matihiko, me &#275;tahi rauemi h&#257;pai i ng&#257; kaimahi.<br /> Ko t&#257;u mahi he tautohu, he whakaraupapa i ng&#257; hiahia whakangungu, whakawhanake hoki a Te M&#257;t&#257;wai m&#257; te toro ki ng&#257; r&#333;p&#363; whai p&#257;nga, tae atu hoki ki te mahi k&#333;tui me ng&#257; pakihi kia m&#257;rama ai ng&#257; hiahia ako, &#257;, he tautohu hoki i ng&#257; w&#257;hi k&#257;ore nei e tino kaha ana.<br /> <br /><strong>He k&#333;rero m&#333;u ake:</strong><br /> M&#257;u an&#333; koe e kuhu, &#257;, ka noho mai koe hei kaimahi ako/whanaketanga whai mana i runga i:<br /> <ul> <li>Te hiranga o &#333;u p&#363;kenga whakam&#333;hiohio, t&#333; pai ki te k&#333;rero M&#257;ori, t&#333; m&#257;rama hoki ki ng&#257; tikanga me ng&#257; m&#257;t&#257;pono o Te Tiriti o Waitangi;</li> <li>T&#275;tahi huarahi mahi tahi kia pai ai te whakakotahitanga mai o te katoa, kia aro k&#275; mai &#275;tahi atu ki &#257;u &#257;rahitanga;</li> <li>&#332;u wheako hirahira m&#333; te &#257;rahi i te whakanaketanga, te hanganga, me te whakatutukitanga o ng&#257; whakangungu arotika, tae noa ki ng&#257; h&#299;raunga ako;</li> <li>&#332;u wheako ki te &#257;rahi i te hanganga o &#275;tahi h&#299;raunga &#257;konga hei whakapakaritanga ake;</li> <li>&#332;u m&#333;hio me &#333;u m&#257;ramatanga ki ng&#257; m&#257;t&#257;pono me ng&#257; ahunga ako.</li> </ul> <strong>Me p&#275;hea te tono:</strong><br /> M&#333; &#275;tahi atu p&#257;rongo, &#257;, e tono ai koe ki t&#275;nei t&#363;ranga, t&#275;na tirohia te pae tukutuku www.h2r.co.nz/tematawai, whakap&#257; mai ki a Victoria Brice ki 04 4999 471, &#257;, &#299;m&#275;ra mai r&#257;nei ki &nbsp;Victoria.brice@h2r.co.nz nama tohutoro 305415. Ka kati ng&#257; tono hei te Wenerei 13 o Oketopa, 5pm.",NZ,Remote,OnSite,Hybrid
194,Gilmours Hamilton - Floor Supervisor,$$PSPACE$$$$PSPACE$$$$PSPACE$$$$PSPACE$$$$PSPACE$$$$PSPACE$$$$PSPACE$$,NZ,OnSite,Unknown,Hybrid
202,Expression of Interest - Implementation Consultant,"<p>We are inviting professionals in high-growth industries who are thinking about their next move or looking for a new opportunity to join our expanding talent pool.</p>
<p>The Marlee Talent Pool is a pilot project designed to:
Help job seekers get discovered by our partners based on their anticipated hiring needs.
Provide optional support and resources for job seekers in their career endeavours.
Help individuals understand, and bring out the best in themselves and each other.
The Marlee Talent Pool process:
Once you express your interest, you will be asked to complete the Marlee work style assessment which measures 48 key attitudes and motivations in the context of work. On completion, you will be automatically added to our growing talent pool and contacted as new opportunities arise.
About Marlee (Fingerprint For Success)
Backed by 20+ years of research, Marlee’s revolutionary predictive analytics have achieved over 90% reliability in forecasting personal and team motivations, behaviours, and performance.
Ultimately, we help people find purpose and fulfillment at work, and help build and scale high-performing teams.</p>
<p>Keep in mind that joining our talent pool does not guarantee a job offer. We aim to balance your technical skills with the results of your Marlee work style assessment to match the hiring needs of our partners.
Your feedback is a gift! Write to us via:</p>
<p>hello@getmarlee.com</p>
<p>to help co-create the future of recruitment, together.</p>
<p>#J-18808-Ljbffr</p>",SG,Remote,Unknown,Unknown
248,Valuer,"<div><div>
<p>Reporting to the Deputy Director and/or Director, this role will need to lead and manage the Premas valuation division which include the following duties</p>
<p>Your Role</p>
<ul>
 <li>Work with your manager in meeting sales target</li>
 <li>Manage direct reports responsible in respective internal team. These include internship and recruitment programs</li>
 <li>Provide supervision and guidance to subordinates and other juniors</li>
 <li>Undertake portfolio assignments and non-standard/ specialized valuations</li>
 <li>Work towards pitching and winning assignments which include business development in existing and new bank panels/ portfolio, provide indicatives and bulk reconciliation</li>
 <li>Review and work out standard of procedure/ workflow to meet the needs of the unit as and when</li>
 <li>Maintain and build relationships with corporate clients and bankers</li>
 <li>Conduct valuation assessment and write formal reports for all types of real estate properties, and any other ad-hoc projects that you may be required to undertake at the Company’sdiscretion</li>
 <li>Ad-hoc duties as assigned by the Director</li>
 <li>Take accountability and ownership of Workplace Safety &amp; Health (WSH) standards and outcomes in building up a Safety Culture.</li>
 <li>Cross-sell other teams’ capabilities when the opportunity arises</li>
</ul>
<p>About You</p>
<ul>
 <li>Bachelor’s Degree in Real Estate.</li>
 <li>2 years of experience in real estate investment analysis or a related field.</li>
 <li>Strong proficiency in financial modeling and analysis using Excel.</li>
 <li>Excellent research and analytical skills.</li>
 <li>Strong written and verbal communication skills.</li>
 <li>Ability to work independently and as part of a team.</li>
 <li>Knowledge of real estate markets and investment principles.</li>
 <li>Proficiency in real estate software and databases is a plus.</li>
 <li>Preferably a Licensed Appraiser</li>
</ul>
<p><strong>Why join Cushman &amp; Wakefield?</strong></p>
<p>As one of the leading global real estate services firms transforming the way people work, shop and live working at Cushman &amp; Wakefield means you will benefit from;</p>
<p>Being part of a growing global company;</p>
<p>Career development and a promote from within culture;</p>
<p>An organisation committed to Diversity and Inclusion</p>
<p>We're committed to providing work-life balance for our people in an inclusive, rewarding environment. We achieve this by providing a flexible and agile work environment by focusing on technology and autonomy to help our people achieve their career ambitions. We focus on career progression and foster a promotion from within culture, leveraging global opportunities to ensure we retain our top talent. We encourage continuous learning and development opportunities to develop personal, professional and technical capabilities, and we reward with a comprehensive employee benefits program.</p>
<p><strong>We have a vision of the future, where people simply belong.</strong></p>
<p>That's why we support and celebrate inclusive causes, not just on days of recognition throughout the year, but every day. We embrace diversity across race, colour, religion, gender, national origin, sexual orientation, gender identity or persons with disabilities or protected veteran status.</p>
<p>We ensure DEI is part of our DNA as a global community - it means we go way beyond than just talking about it - we live it. If you want to live it too, join us.</p>
</div></div>",SG,Hybrid,OnSite,Hybrid
262,Senior AP/P2P Vendor & Tax Specialist - Hybrid,"<p>Full-time
Company Description</p>
<p>Informa</p>
<div>
<p>is a leading international events, intelligence and scholarly research group. We’re the specialist’s specialist. Through hundreds of powerful brands, we work with businesses and professionals in specialist markets, providing the connections, intelligence and opportunities that help customers grow, do business, make breakthroughs and take better informed decisions.</p>
<p>Informa is listed on London Stock Exchange and a member of FTSE 100, with over 11,000 colleagues working in more than 30 countries. Global Support</p>
</div>
<p>is Informa's sixth division, with major hubs in the United Kingdom, United States, Hong Kong and Singapore as well as several smaller locations. As the team behind the teams, Global Support colleagues provide shared, efficient business services and function-specific expertise to each of Informa's operating divisions, enabling our commercial teams to focus on their markets and customers.
Job Description</p>
<div>
<p>We are seeking a detail-oriented and organized Accounts Payable professional to join our team as our new Senior P2P Vendor &amp; Tax Specialist. In this role, you will play a crucial part in ensuring the smooth operation of our financial processes by accurately processing invoices, handling expense claims, and delivering exceptional customer service to both internal and external stakeholders/vendors. Your attention to detail, strong communication skills, and ability to work within established processes will contribute to maintaining the financial integrity of our organization.</p>
<p>Job duties include: Vendor Data and Relationships:</p>
</div>
<p>Thorough understanding of new vendor requirements for both US based vendors and international vendors including W-9 and W-8 compliance. Comfortable with banking details to include ACH, Wire, SEP accounts and partner banks.
Vendor Site Harmony:</p>
<p>Take charge of maintaining vendor records across several ERP systems, inactivating unused vendors to uphold our commitment to accurate and organized record-keeping.
Vendor Tax Reporting:</p>
<p>Able to create various year end tax forms including 1099, 1042 and T4A-NR. Understanding of Canadian Withholding tax and able to review invoices and payments for compliance.
Ensuring Financial Accuracy:</p>
<p>Ability to reconcile large quantities of vendor data with statements and payments across multiple ERP systems.
Customer Service:</p>
<p>Comfortable engaging with internal and external stakeholders via phone and email. Your responsive and professional communication will enhance the overall experience for everyone involved.
Special Projects:</p>
<p>Collaborate with the accounts payable teams on special projects and new business acquisitions, to help create process improvements and efficiency initiatives.
People Management:</p>
<p>Work collaboratively across teams/businesses. Act as a role model to others. Provide help and a buddy system to other members of the team.
Qualifications</p>
<div>
<ul>
<li>4+ years related experience required</li>
<li>Advanced Microsoft Excel skills required (ex., pivot tables, vlookups, etc.)</li>
<li>SAP and Oracle experience preferred</li>
<li>Excellent attention to detail with ability to multi-task</li>
<li>Good communication skills with the ability to build good relationships with a wide range of stakeholders, internal departments, and key contacts</li>
<li>Remain approachable under pressure</li>
<li>Act with integrity, tact and diplomacy</li>
<li>Good time management skills</li>
<li>Ability to be flexible within role</li>
<li>Good knowledge, best practices and understanding of accounts payable processes</li>
</ul>
<p>Additional Information</p>
</div>
<div>
<p>The pay range for this position is $25-27 / hour depending on experience. Why work at Informa? Employee experience is very important to us at Informa.</p>
<p>On top of joining a supportive, diverse and ambitious team that welcomes all types of candidates. We are also flexible with different working patterns and prioritize promotions internally. Our benefits include:</p>
<p>Learning and development plan to assist with your career development 15 days PTO plus 10 national holidays, 4 days for volunteering and a day off for your birthday! Competitive Benefits with 401k match</p>
<p>Paid parental leave Work with a high quality of specialist products and service Bright and friendly staff who are all “expert’s experts” and additional training and development for helping you achieve your career aspiration</p>
<p>ESPP - become a shareholder We know that sometimes the 'perfect candidate' doesn't exist, and that people can be put off applying for a job if they don't fit all the requirements. If you're excited about working for us and have most of the skills or experience we're looking for, please go ahead and apply.</p>
<p>You could be just what we need! We believe strongly in the value of diversity and creating supportive, inclusive environments where our colleagues can succeed. As such, Informa is proud to be an Equal Opportunity Employer.</p>
<p>We do not discriminate on the basis of race, color, ancestry, national origin, religion, or religious creed, mental or physical disability, medical condition, genetic information, sex (including pregnancy, childbirth, and related medical conditions), sexual orientation, gender identity, gender expression, age, marital status, military or veteran status, citizenship, or other protected characteristics under federal, state or local law.</p>
</div>
<p>#J-18808-Ljbffr</p>",SG,Remote,Hybrid,Hybrid
275,Privacy Counsel,"<div><div>
<strong>Overview</strong><br />
<p>k-ID is a trailblazing tech startup, specializing in providing advanced, privacy-centric tools designed to protect and empower kids and teens online. We have secured pivotal partnerships with key industry leaders in the gaming industry and are venture-backed by leading global VCs. We are poised for unprecedented growth and expansion in the coming year.</p>
<p>We are seeking a highly experienced and motivated Privacy Counsel based in Singapore with a strong background in children's privacy and safety law. We are seeking an experienced Senior Privacy Legal Counsel to join our legal team. This role will be critical in navigating the complex landscape of data privacy laws, particularly concerning children's privacy and online safety across over 200 jurisdictions. You will also support client engagements, policy development, and general corporate matters.</p>
<strong><strong>Key Responsibilities</strong></strong><br />
<ul>
 <li>Database Management: Develop and maintain a comprehensive database of children's privacy laws and online safety regulations across 200+ jurisdictions.</li>
 <li>Policy Development: Create, review, and update privacy policies related to children's data protection and online safety to ensure compliance with applicable laws.</li>
 <li>Product Compliance: Support k-ID's products to ensure compliance with relevant laws and regulations concerning data privacy.</li>
 <li>Certification Support: Assist k-ID in obtaining privacy and cybersecurity certifications to enhance compliance and trustworthiness.</li>
 <li>Client Support: Assist in client pitches and provide legal support for existing client engagements, addressing their data privacy needs.</li>
 <li>Collaboration: Work with IT, security, and product teams to integrate privacy considerations into k-ID’s product design and service delivery.</li>
 <li>Risk Assessment: Conduct privacy risk assessments focusing on children's online safety and recommend appropriate mitigation strategies.</li>
 <li>Training and Awareness: Design and deliver training programs for employees and clients on data privacy issues related to children's protection and compliance.</li>
 <li>Regulatory Engagement: Liaise with regulatory authorities regarding privacy matters, especially those concerning children's data, and manage inquiries or investigations.</li>
 <li>Incident Response: Lead responses to data breaches or privacy incidents involving children's data, ensuring compliance with notification requirements.</li>
</ul>
<strong><strong>Minimum Requirements:</strong></strong><br />
<ul>
 <li>7 years of experience practicing as a qualified lawyer, with a strong focus on privacy and data protection law.</li>
 <li>In-depth knowledge of global privacy laws, particularly those relating to children.</li>
 <li>Strong analytical skills with the ability to think strategically about privacy issues.</li>
 <li>Excellent written and verbal communication skills.</li>
 <li>Proven ability to work collaboratively with cross-functional teams and support client relationships.</li>
 <li>Mission-driven mentality to empower kids and teens online.</li>
 <li>Relevant certifications (e.g., CIPP/US, CIPP/E) are a plus.</li>
</ul>
</div></div>",SG,Remote,OnSite,OnSite
288,"VP / AVP, COO-Office Business Management Support, Global Financial Markets","<div><div>
<div><div>
<p> - ()</p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
</div></div>
<div><div><div><div>
<div>
<p>Refer a friend</p>
</div>
<div>
<p>Submit a candidate's profile</p>
</div>
</div></div></div></div>
</div></div>",SG,OnSite,Unknown,Unknown
