job_id,job_title,job_ad_details,nation_short_desc,y_true_claude,y_true_gpt4.1
15,Administration Assistant (Business Development),"<p>  <strong> The Opportunity</strong></p><p>We are currently looking to recruit an Administrative Assistant to  support our Ashurst Service Central (ASC) - Client team on a permanent  basis in Brisbane.</p><p>Operating as an integral member of the ASC-Client team, you will  provide proactive and effective administrative support to our Brand,  Marketing, Communications (BMC) and Business Development (BD) Teams  and other areas within the business.</p><p>Working alongside counterparts in Glasgow some of your main  responsibilities will be (but not limited to):</p><ul>  <li>Preparation and maintenance of marketing material, including    website updates, email marketing, bids and tender documents and    client reports;</li>  <li>Assistance with event invitations, attendee lists, online event    setup and recording and event feedback surveys;</li>  <li>Forming positive working relationships, particularly with the BD,    BMC and ASC teams.</li></ul><p>A full job description including a breakdown of responsibilities can  be found either below or attached to the role on our careers page www.ashurst.com/en/careers</p><p>  <strong> Essential Skills &amp; Experience</strong></p><p>To be successful in this role you will have the following skills or experience:</p><ul>  <li>Proficient with Microsoft Office products (Word, PowerPoint and Excel)</li>  <li>Excellent verbal and written communication - able to write    clearly, concisely and to a high standard, with an excellent grasp    of grammar and punctuation</li>  <li>Demonstrated attention to detail and accuracy</li>  <li>Excellent organisational skills</li>  <li>Collaborative, team-orientated approach with the flexibility and    willingness to go the extra mile</li></ul><p>  <strong>About Ashurst</strong></p><p>Ashurst is a leading progressive global law firm with a rich history,  celebrating it's bicentenary in 2022. We are proud of our history and  are future-focused, having expanded into new technologies through our  NewLaw division, Ashurst Advance, and our consulting arm. Our in-depth  understanding of our clients and commitment to providing excellent  standards of service have seen us become a trusted adviser to local  and global corporates, financial institutions and governments in all  areas of commercial law. To find out more please visit www.ashurst.com.</p><p>  <strong>What makes Ashurst a great place to work?</strong></p><p>We offer you all the things you should expect from an international  law firm, some of which include:</p><ul>  <li>Competitive remuneration with the flexibility to reward high performance;</li>  <li>Flexible working;</li>  <li>Complimentary gym memberships;</li>  <li>Corporate health plans;</li>  <li>Global professional development offering for all employees; and</li>  <li>An industry-leading programme that celebrates diversity and inclusion.</li></ul><p>We are committed to delivering positive impacts to our communities  through our Social Impact programme, with a strong emphasis on working  with First Nations people through our pro bono practice.</p><p>We aim to recruit, retain and promote the best people from the widest  possible talent pools. We are committed to offering a safe and  welcoming environment for all employees to ensure they are supported  to work at their best.</p><p>Beyond this, what sets Ashurst apart from others is our global  strength, our drive to innovate and collaborate, and our commitment to  excellence. It is these values that make Ashurst a unique place to work.</p><p>Brisbane 4000</p>",AUS,OnSite,Hybrid
21,Office Manager,"<div><div>
<p>Metro South Health is Australia's first digital health service and one of the largest in Queensland, with an estimated residential population of approximately one million people or 23 per cent of Queensland's population.  </p>
<p>This is your opportunity to join the dedicated team of professionals at Metro South Health and be part of a world-class, dynamic and growing health service that embraces technology, excellence in health care, teaching, research and empowering our people to be the best in serving our community.</p>
<p>About the Role</p>
<p> Fulfil the accountabilities and responsibilities of this role in accordance with Metro South's purpose and objectives, as outlined below.</p>
<div>
<ul>
<li>Resolve day to day operational issues regarding resources, workflows, procedures and staff within the team and assist with review of the work practices by maintaining high professional work standards and seeking ways for ongoing improvement. </li>
<li>Supervise and manage administration staff responsible to this position including preparation of rosters, management of workloads, organisation of relief where appropriate, and performance planning and review and ensuring duties are completed efficiently and within timeframes.Manage all aspects of administrative staff responsible to this position in line with Queensland Health HR policies and guidelines including Performance and Development compliance, and professional and mandatory training.</li>
</ul>
</div>
<p>Find out about the role in more detail and how to apply in the attached Role Description.</p>
<p>Our ICARE² values of Integrity, Compassion, Accountability, Respect, Engagement and Excellence, shape our culture within Metro South Health. Our values guide our day-to-day decision making and are fundamental to what we care about as a health service, how we behave, how we interact with each other and provide care to the many patients who come through our doors every day. </p>
<p>We offer rewarding career opportunities across a wide range of clinical and non-clinical areas across our health service and pride ourselves on providing a work environment that is safe, satisfying, flexible, and promotes a healthy work-life balance.</p>
<p>As a Metro South employee, you will benefit from a higher than standard employer contribution to Superannuation of up to 12.75%, access to salary packaging, flexible working arrangements and competitive salary rates with annual incremental increases.</p>
<p>It is a condition of employment for this role for the employee to be, and remain, vaccinated against COVID-19 (Health Employment Directive No. 12/21 (PDF) and Queensland Health Human Resources Policy B70 (PDF))</p>
<p>You can find out more about why it's so great to work at Metro South here: www.metrosouth.health.qld.gov.au/join-our-team.</p>
</div></div>",AUS,OnSite,Hybrid
60,Asset Works Planning Engineer - Electrical,"<HTML><p style=""margin-top:0px;margin-bottom:0px;""><b>•	Permanent Full Time role based in the Sydney CBD<br />•	Coordinate asset management plans for Sydney Trains<br />•	RC Grade 6 ($116,735 - $129,439) + 9.5% superannuation and leave loading</b><br /><br /><br /><b>The opportunity </b><br />We have an exciting opportunity for an Asset Works Planning Engineer - Electrical to be a part of our Asset Management Division within Sydney Trains. <br /><br />The Asset Works Planning Engineer plays a key role in overseeing and coordinating the asset management plans for the Electrical discipline, incorporating routine maintenance, major periodic maintenance, capital works and external party works to ensure safe and cost effective maintenance while achieving on time running and reliability objectives. <br /><br />Reporting to the Asset Works Planning &amp; Integration Manager, you will ensure program alignment with the Asset Management Program to facilitate network sustainability and capacity to meet demand, as well as actively monitor systems performance and manage risk factors that can adversely affect the performance of systems and assets.<br /><br />We are looking for an Asset Works Planning Engineer that has extensive experience in asset management or a rail related maintenance field such as Signals Engineering. You will have demonstrated experience in Project Management, rail infrastructure and operations, as well as proven experience in configuration management.<br /><br /><b>About us</b><br />At Sydney Trains, our vision is to keep Sydney moving by delivering safe, customer-focused, reliable and clean rail services.</p><p style=""margin-top:0px;margin-bottom:0px;""><br />We contribute to the success of transport in NSW by running efficient rail services which exceed our customers’ expectations, support growth and contribute to the broader community and the economy.</p><p style=""margin-top:0px;margin-bottom:0px;""><br />Joining Sydney Trains will present an exciting opportunity to shape the future and make a genuine difference for the people of NSW by providing a world class rail system. <br /><br /><b>Benefits</b><br />Sydney Trains offers its employees challenging and rewarding work with opportunities for career progression, learning and development and work-life balance. Other benefits include:<br />•	Free travel on Government trains, buses and ferries<br />•	Flexible work practices<br /><br />Join Sydney Trains for the opportunity to shape the future and make a genuine difference for the people of NSW by providing a world class rail system.<br /><br /><b>Our commitment to Diversity </b><br />TfNSW are committed to building a diverse and inclusive culture across the Transport cluster, planning for and promoting diversity. We welcome and encourage applications from diverse community groups and ages including Aboriginal and Torres Strait Islander, LGBTI, people with disabilities, women and other diversity groups. TfNSW recognises the benefits that such an approach brings for our staff and customers in delivering the future of NSW.<br /><br /><b>How to apply</b><br />Click on the APPLY button below. For more information on <b><a href=""http://www.sydneytrains.info/about/"">Sydney Trains</a></b> or the <b><a href=""http://files.jobs.nsw.gov.au/4coraq"">Position Description</a></b>, please click on links provided. <br /><br />For any enquiries, please contact Desiree Syamsuddin on 8575 0084 and quote 000053HJ<br /><br />Please note: successful candidate will need to undertake background checks and criminal record checks.<br /><br /><b>Applications close: </b>11.59pm on Sunday, 5th March<br /><br /><br /><br /><font size=""2"">For permanent positions in the NSW Public Sector, you need to be an Australian Citizen or Permanent Resident. For most Temporary jobs, you need a visa that gives you permission to work in Australia. To be considered for these roles you must be 18 years of age. Applicants will need to complete merit based selection activities and will be subject to satisfactory medical, drug &amp; alcohol and criminal record checks as part of the selection process. Please note that an eligibility list may be created for this position, and position(s) of the same classification that subsequently become vacant may be filled using this eligibility list (where the vacancy is within 60 minutes travelling time). Transport for NSW is an equal opportunity employer. Women and people with a disability are encouraged to apply.</font><br /><br /></p></HTML>",AUS,OnSite,Hybrid
74,Home Care Workers,"<p>Care Agency Services has been a leading provider of agency staffing solutions to the care community since 2011. In 2024, we are excited to be opening our Sydney office to support providers and individuals in NSW and ACT.</p><p>We are currently seeking experienced and enthusiastic Disability, Aged Care, and Home and Community Care workers in the Inner West, North Shore and the Hills district. </p><p><strong>About the Positions</strong></p><p><strong>Our Home and Community Care staff </strong>support clients with Domestic Assistance, Personal Care, Transport/Shopping, Medication Assistance, Meal Prep, Social Support and Respite.  Our HCWs work in various environments including Respite centres, in home and out in the community.<br /><br /><strong>Our Disability Support Workers</strong> support clients with a range of disabilities, including: intellectual impairment, autism, high support physical needs, acquired brain/spinal injuries, cerebral palsy, and mental health conditions. Our DSWs work in various environments, including respite centres, supported accommodation, in-home, and in the community.</p><p><strong>We Offer</strong></p><ul><li>A diversity of environments and clients</li><li>Consistent work availability</li><li>Competitive wage remuneration</li><li>Flexibility to choose when you work</li><li>Ongoing support and training</li><li>Dedicated support from our experienced office team</li></ul><p><strong>Great opportunities are available for skilled and committed staff!</strong><br /><br /><strong>You Will Need (Or be willing to obtain)</strong></p><ul><li>Certificate III individual support or equivalent</li><li>Current Police Check</li><li>NSW Working with Children Check</li><li>NDIS Worker Screening Check</li><li>Current First Aid</li><li>Current CPR (updated within the last 12 months)</li><li>A registered and insured vehicle</li><li>NSW Drivers Licence</li></ul><p>Care Agency Services is committed to offering flexibility and strong support to our staff. We value working with enthusiastic and qualified people.</p><p>Please email your resume to apply.nsw@careagencyservices.com.au</p>",AUS,OnSite,Hybrid
92,"Harvest Casuals- Central West, NSW","<div><div>
 
 <div>
 <div>
 <div>
 
 <p>Loading…</p>
 </div>
 </div>
 </div>
 
 
 
 
</div></div>",AUS,OnSite,Unknown
100,Senior Revenue Accountant,"<p>Are you a rating whizz or an Accountant looking for a new challenge?</p>  <p>Then come and join a Finance team who love what they do and share a passion for numbers, knowledge, collaboration, cake, and continually striving to improve how we do things.</p>  <p>Working from our Richmond office and reporting to Finance Manager, this full-time position is responsible for providing financial strategy and policy advice on the management of Council's income from rates, fees, charges and any other income sources. You will also manage a small team responsible for the invoicing, collection of rates, water and other revenue sources.</p>  <p>You will be reliable, organised and pro-active, with a ‘can-do' attitude and curious nature. You'll bring with you a relevant tertiary qualification and at least six years' experience in financial services. You'll also have experience in data management, modelling and analysis, budget management and in the measurement and progressive reporting of business performance.</p>  <p>We're also looking for proven leadership, staff management and mentoring skills and a strong commitment to teamwork. You'll also ideally have previous rating management experience, and an understanding of the legislative environments of New Zealand local authorities. If you have the right attitude and approach we will train you in these areas if you don't.</p>  <p>In return, we offer a great team to work with, ongoing professional development, a variety of challenging and interesting work, a day off for your birthday, flexible working options, relocation assistance and a benefits package suited to your preferences. </p>  <p>If this sounds like you, apply now!</p>  <p><em><strong>You can view the full details, and submit your application online at careers.tasman.govt.nz/Vacancies or for more information contact the Human Resources Team on Ph. 03 543 8393.</strong></em></p>  <p><em><strong>Applications close 21 March 2021.</strong></em></p>",NZ,OnSite,Hybrid
107,Biologist – Technical Representative,"<p>Renovo Technologies are a niche chemical manufacturer based in beautiful Taranaki. We have an exciting opportunity for someone to join our team in a Biologist role who will work across the organization in both R&amp;D and commercial environments. This is a full time permanent role with great opportunities to gain broad experience </p><p> </p><p>This role would suit someone with insect or plant biology knowledge who wants an interesting and varied role that will allow them to gain board experience in R&amp;D and commercial activities. It is an ideal role to transition into other more senior roles with the successful applicant having the opportunity to grow the position in either a commercial or research areas.</p><p> </p><p>Being a smaller local company, we are able to adapt and manufacture to local requirements, and will require someone who can adapt and enjoys varied work as well.</p><p>The successful applicant will report to the Managing Director and be employed in a role with a focus in plant/insect research but with the scope to build relationships and promote our animal health products with retailers during periods of low research activity. They will work with the formulation chemist in the development of new products as well as customer biologists in the design and interpretation of trial results. They will also maintain insect and plant populations necessary for research activities. The work will be based indoors and outdoors, on-site and off-site and will involve a small amount of travel.</p><p> </p><p>To be considered for this role you will need:</p><ul><li>To be self-motivated and can work unsupervised</li><li>Tertiary qualification in Biology, preferably plant or insect biology</li><li>Attention to detail</li><li>Excellent computer skills, especially the Microsoft Office suite.</li><li>Enjoy being part of a team environment</li><li>Good communication skills with an outgoing, positive attitude</li><li>be a NZ Citizen, permanent resident or hold a valid work visa</li></ul><p> </p><p>An advantage to the role are:</p><ul><li>Experience in conducting field trials.</li><li>Experience in sales or customer service.</li><li>Leadership and initiative attributes</li><li>Hold a current Certified Handler certificate and/or Grosafe Certificate</li><li>Good problem-solving skills with the ability to find creative and outside the box solutions.</li></ul><p> </p><p>In return we are providing an exciting opportunity with flexible working hours, a competitive salary based on experience, potential bonuses, and medical insurance living in a great part of the country. We also offer relocation assistance for the successful applicant, if required.</p><p> </p><p>If you are ready to take on a new challenge in your career and can meet the above requirements, don’t delay, apply now. To be considered send your CV and cover letter to vacancy@renovotech.co.nz, or Renovo Technologies, PO Box 3218, New Plymouth. Alternatively contact Mark on 0800 002920 for further information.</p>",NZ,OnSite,Hybrid
112,Senior Data Scientist,"<h2>Machine learning and te reo</h2> <p>We need an experienced data scientist who is skilled in the application of machine learning methods to natural language problems. Knowledge of tikanga and te reo Māori or other Polynesian languages is preferred.</p> <h2>About the role</h2> <p>We are looking for someone with experience relevant to the development of:</p> <ul> <li>speech recognition for te reo Māori using Mozilla Deep Speech</li> <li>speech synthesis for te reo Māori</li> <li>models of natural language understanding</li> <li>speech recognition in multilingual contexts.</li></ul> <p>The work is part of the Papa Reo project, which aims to use machine learning methods to develop digital tools for te reo Māori, and to support indigenous communities globally in revitalising their languages. The work will require development of machine learning models and their integration into operational systems. The current focus is on automatic speech recognition (using Mozilla Deep Speech) and on voice synthesis. It is anticipated that the scope will widen to include models of natural language understanding (e.g., to respond to queries in te reo Māori), and multilingual contexts (e.g., a mix of te reo Māori and New Zealand English).</p> <p>Papa Reo is led by Te Hiku Media, in collaboration with Dragonfly Data Science, the Mozilla machine learning team, and university researchers. The seven-year programme is funded by the New Zealand Ministry of Business, Innovation &amp; Employment’s Strategic Science Investment Fund, which aims to increase New Zealand’s data science capability.</p> <p>This is a unique opportunity to join a multi-organisational team that is led by Māori, is answerable to the community, and that includes software developers, PhD students, linguists, and academic researchers. This role will include collaboration and mentoring of junior researchers, and publication in primary literature. There is also the opportunity to become involved with Dragonfly’s broader work in the area of natural language processing.</p> <p>This role is offered as a permanent position, with salary depending on experience. The role is based in New Zealand. Dragonfly has an office in Wellington, and staff in Auckland who are working on Papa Reo. There is the potential to work from home, anywhere in New Zealand.</p> <p>To apply for this position, please send a cover letter and a curriculum vitae to Edward Abraham (edward@dragonfly.co.nz). International applicants are asked to check their visa eligibility on the Immigration New Zealand website. Because of COVID-19, there is currently limited immigration to New Zealand, however highly-qualified applicants may be eligible to enter New Zealand under the &quot;other critical worker&quot; category.</p> <p>Applications close at 12pm, Monday August 17, 2020.</p> <p>&nbsp;</p> <h2>About Dragonfly Data Science</h2> <p>Dragonfly Data Science is a small company engaged in a wide range of data science projects across different sectors. Our work involves different aspects of data science, from the collection of data, data preparation and validation, statistical analysis, through to communicating results to a wide range of audiences.</p> <p>As a company, we aim to be at the cutting edge of data science practice, and this focus is evident in our increasingly diverse portfolio of projects. We are committed to following principles of reproducible research, applying complex data analysis methods, such as Bayesian modelling and neural network approaches. Our commitment includes the production of high-quality outputs in the form of scientific reports and publications, presentations and interactive data visualisations.</p> <p>We are an inclusive and friendly company, focused on collaboration and innovation. We strive to provide a positive and supportive work environment.</p> <p>&nbsp;</p>",NZ,Remote,Hybrid
126,18/1708 - Relationship Manager,"<HTML><p>Here at Stats NZ we have a vision to unleash the power of data to change lives and this role is at the forefront of this, sourcing data from businesses across NZ.</p><p>The Relationship Manager is part of our Auckland based Supplier Insights team who have the goal to improve our data suppliers experience through using data and relationships to continually improve our service offering. We are a small, close knit team looking to drive our success further as we look to introduce new tools and processes to source quality data digitally.</p><p>The Relationship Manager is an external facing role that facilitates the supply of data from New Zealand's most economically significant corporate businesses in a timely manner and to a high quality standard. We are on the search for a relationship focused individual, with a passion for data, who can compliment our talented and skilled team.</p><p><strong>Reporting to the Team Manager, Supplier Insights, in this role you'll be:</strong></p><ul><li>responsible for managing the relationship between Stats NZ and data suppliers to ensure the supply of accurate and timely data</li><li>applying innovative thinking and listening to the data collection needs of our clients - we want to continue to be a respected and trusted partner</li><li>working with the wider organisation to develop new solutions, using an iterative approach to get to the best solution faster</li><li>establishing and maintaining sustainable relationships and using those relationships to improve the supplier experience.</li></ul><p><strong>Our ideal candidate is likely to have:</strong></p><ul><li>worked in a role where relationships are critical to success</li><li>an analytical mind and effective problem solving skills</li><li>intermediate/advanced MS Office skills</li><li>SAS/SQL/R skills and experience in data manipulation would be an advantage</li><li>an ability to travel and be away from home overnight.</li></ul><p><strong>In return we can offer you:</strong></p><ul><li>a friendly, family feel workplace with a supportive team environment</li><li>modern offices in a central CBD location</li><li>flexible working hours</li><li>the opportunity to work with a bunch of passionate, positive people who are all striving to improve our supplier experience.</li></ul><p>If you think you fit the description then we would love to hear from you.</p><p>For more information please contact Renee Woolston on Renee.Woolston@stats.govt.nz</p><p><strong>Please apply online.</strong></p><p><strong>Applications close at 11.59pm on Wednesday, 7 February 2018.</strong></p></HTML>",NZ,OnSite,Hybrid
130,Customer Service Consultant (Part Time),"<HTML><p>Our client is expanding and a new part time role has become available. They are looking for an individual that is able to work under pressure and solve client queries effectively. You will be working Friday, Saturday and Monday’s. This will give you enough time to take on different projects or studies.</p> <p>&nbsp;</p> <p>What we are looking for:</p> <ul> <li>Committed and self-motivated</li> <li>Experience in Customer Service &nbsp;</li> <li>Excellent verbal and written communication skills</li> <li>Fast learner</li> <li>Ability to work autonomously</li> <li>A great attitude</li></ul></HTML>",NZ,OnSite,Unknown
