job_id,job_title,job_ad_details,nation_short_desc,y_true_claude,y_true_gpt4.1,y_true_gemini2.5
187,Kaitohutohu Mātāmua Ako/Whanaketanga,"<strong>Kia &#363;kaip&#333; an&#333; te reo M&#257;ori: </strong><br /> Koinei te t&#363;rua p&#333; o te rautaki reo M&#257;ori hou e k&#299;ia nei ko Te Maihi M&#257;ori, he mea waihanga e ng&#257;i M&#257;ori m&#257; ng&#257; k&#257;inga, ng&#257;&nbsp;hapori me ng&#257; iwi.<br /> <br /> I te t&#299;matanga o te tau 2017 i hui tahi Te Ma&#772;ta&#772;wai me ng&#257; r&#333;p&#363; whai p&#257;nga huri noa i te motu ki te kohi haere i ng&#257; k&#333;rero m&#333; ng&#257; kaupapa reo M&#257;ori kei ng&#257; k&#257;inga, ng&#257; hapori; ng&#257; wawata kei a r&#257;tou e p&#257; ana ki te reo M&#257;ori,Hybrid, whanaketanga, whakangungu hoki m&#257; ng&#257; kaimahi, ng&#257; mema o te Poari me ng&#257; Pae Motuhake. Ko t&#257;u mahi he k&#333;kiri i &#275;tahi h&#299;raunga ako hou kia kairangi ake nei, m&#257; roto i ng&#257; rautaki maha. &#256;p&#257; noa atu, ko ng&#257; kauhau tuihono &#275;r&#257;, ko ng&#257; papamahi, ko ng&#257; k&#333;wae ako matihiko, me &#275;tahi rauemi h&#257;pai i ng&#257; kaimahi.<br /> Ko t&#257;u mahi he tautohu, he whakaraupapa i ng&#257; hiahia whakangungu, whakawhanake hoki a Te M&#257;t&#257;wai m&#257; te toro ki ng&#257; r&#333;p&#363; whai p&#257;nga, tae atu hoki ki te mahi k&#333;tui me ng&#257; pakihi kia m&#257;rama ai ng&#257; hiahia ako, &#257;, he tautohu hoki i ng&#257; w&#257;hi k&#257;ore nei e tino kaha ana.<br /> <br /><strong>He k&#333;rero m&#333;u ake:</strong><br /> M&#257;u an&#333; koe e kuhu, &#257;, ka noho mai koe hei kaimahi ako/whanaketanga whai mana i runga i:<br /> <ul> <li>Te hiranga o &#333;u p&#363;kenga whakam&#333;hiohio, t&#333; pai ki te k&#333;rero M&#257;ori, t&#333; m&#257;rama hoki ki ng&#257; tikanga me ng&#257; m&#257;t&#257;pono o Te Tiriti o Waitangi;</li> <li>T&#275;tahi huarahi mahi tahi kia pai ai te whakakotahitanga mai o te katoa, kia aro k&#275; mai &#275;tahi atu ki &#257;u &#257;rahitanga;</li> <li>&#332;u wheako hirahira m&#333; te &#257;rahi i te whakanaketanga, te hanganga, me te whakatutukitanga o ng&#257; whakangungu arotika, tae noa ki ng&#257; h&#299;raunga ako;</li> <li>&#332;u wheako ki te &#257;rahi i te hanganga o &#275;tahi h&#299;raunga &#257;konga hei whakapakaritanga ake;</li> <li>&#332;u m&#333;hio me &#333;u m&#257;ramatanga ki ng&#257; m&#257;t&#257;pono me ng&#257; ahunga ako.</li> </ul> <strong>Me p&#275;hea te tono:</strong><br /> M&#333; &#275;tahi atu p&#257;rongo, &#257;, e tono ai koe ki t&#275;nei t&#363;ranga, t&#275;na tirohia te pae tukutuku www.h2r.co.nz/tematawai, whakap&#257; mai ki a Victoria Brice ki 04 4999 471, &#257;, &#299;m&#275;ra mai r&#257;nei ki &nbsp;Victoria.brice@h2r.co.nz nama tohutoro 305415. Ka kati ng&#257; tono hei te Wenerei 13 o Oketopa, 5pm.",NZ,Remote,OnSite,Hybrid
194,Gilmours Hamilton - Floor Supervisor,$$PSPACE$$$$PSPACE$$$$PSPACE$$$$PSPACE$$$$PSPACE$$$$PSPACE$$$$PSPACE$$,NZ,OnSite,Unknown,Hybrid
422,Financial System Manager -SAP FI/CO / Hana,"<p><strong>Responsibilities:</strong></p><ul><li>Handle and resolve day-to-day system interface, maintenance, user requests and enquiries from accounting and system perspective</li><li>Supervise SAP accounting system implementation and enhancement</li><li>Act as internal SAP functional consultant in providing quality SAP advice and worldwide systems support to global financial users</li><li>Plan, coordinate and configure SAP system enhancements according to global and regional user requirements</li><li>Monitor, coordinate and work with developers and external consultants on systems development and enhancements tasks</li><li>Lead User Acceptance Testing (UAT) and coach teammates to carry out the SAP tasks as required </li></ul><p><strong>Requirements:</strong></p><ul><li>Bachelor's degree holder in Accounting, Information Technology or related discipline</li><li>6-8 years' related financial/accounting system experience</li><li>Familiar with SAP FICO or SAP S4 Hana is an advantage</li><li>Experience in system implementation and enhancement</li><li>Independent, self-motivated and able to work under pressure</li><li>Good command of English and Chinese</li></ul>",HK,OnSite,Remote,Hybrid
430,Quality Assurance Tester (QA Analyst),"<p><strong>Responsibilities:</strong></p><ul><li>Execute the quality assurance (QA) testing process to ensure high-quality deliverables for web platforms and iOS/Android mobile applications.</li><li>Design and execute comprehensive test plans and test cases aligned with project requirements and specifications.</li><li>Maintain detailed records of test results and collaborate with cross-functional teams to resolve identified defects.</li><li>Provide regular feedback and recommendations to improve the overall quality of deliverables.</li></ul><p>&nbsp;</p><p><strong>Skills and Qualifications:</strong></p><ul><li>Bachelor's degree in Information Technology, Computer Science, or a related field.</li><li>Minimum 2 years of application testing experience across both web and mobile platforms.</li><li>Ability to work independently, demonstrate strong analytical and problem-solving skills, and thrive under pressure to meet tight project deadlines.</li><li>Proficient in using issue tracking tools like JIRA for managing and reporting on test activities.</li><li>Hands-on experience with testing tools and frameworks such as Inspect, Postman, and Charles.</li><li>Excellent communication skills, both verbal and written, in English and Chinese.</li><li>Familiarity with Agile software development methodologies is preferred.</li><li>Certification in software testing (e.g., ISTQB, CSTP) is a plus.</li></ul>",HK,OnSite,Remote,Hybrid
506,Project Manager IT,"<p>Job Description:</p><p>In this role you will be responsible for managing, strategic projects from initiation through delivery and leading team members on implementation, migration, enhancement, or integration projects that often involve business process reengineering. You will be accountable for managing the client project to ensure that all targets and requirements are met and ensure billable projects are completed on schedule and within budget.</p><p></p><p>Qualifications:</p><ul><li>Education: Bachelor Degree/Master Degree (IT/related major is preferable).</li><li><strong>1 + years of experience working as a Technical Project Manager or equivalent experience.</strong></li><li><strong>Experience working on PMBOK Knowledge, SCRUM (PSM) more preferable.</strong></li><li>Strong analytical skills, excellent communication and demonstrated ability to translate client requirements.</li><li>Understanding of business systems, ability to multi-task on diverse requirements, understanding of Software development Lifecycle and techniques, and experience in the development of system documentation or training materials.</li><li>Experience working directly within a software development team.</li><li>Passion for building great products and solving customer and business problems.</li></ul><p></p>",ID,OnSite,Remote,Hybrid
513,Fullstack Developer,"<p>Responsibilities :</p><p><br /></p><ol><li>Develop backend application using RESTFULL technology such as NodeJS, PHP, Laravel and ExpressJS</li><li>Ship features and improvement by collaborating with other team member</li><li>Review, optimize, and test existing code to conform to industry best practice</li><li>Solve bug and technical debt on existing deployment Provides solution architect from business requirements.</li><li>Produce results effectively and within the deadlines set.</li><li>Uphold high-quality standard delivery (and web compliance).</li><li>Slicing UI using Vue.Js, Nuxt.Js, Tailwindcss, Javascript, Sass</li></ol><p><br /></p><p>Requirement :</p><p><br /></p><ol><li>Bachelor Degree IT, Computer Science or related major from Reputable University</li><li>Minimum 2 years experience as a Fullstack Developer</li><li>Experience to use NodeJS, Express js, PHP, Laravel, VueJs, NuxtJs, TailwindCss etc.</li><li>Experience with relational and NoSQL database schema design and query optimization</li><li>Experience with Linux systems administration, web server configuration (Apache/ Nginx/Gunicorn), SQL databases, and other common web stack technologies.</li><li>Have a deep understanding of OOP (Object Oriented Programming).</li><li>Strong analytical and problem-solving skills.</li><li>Self-motivated, driven and fast learner.</li><li>Able to use versioning control system such as GIT</li><li>Code reusability, clean code</li><li>Comfortable working in a linux environment &amp; using CLI</li></ol>",ID,OnSite,Remote,Hybrid
523,Data Engineer,"<strong>Description</strong><br />
 <p>- Design, develop, optimize, and maintain data architecture and pipelines that adhere to ETL principles and business goals<br />- Solve complex data problems to deliver insights that helps our business to achieve their goals<br />- Create data products for analytics and data scientist team members to improve their productivity<br />- Advise, consult, mentor and coach other data and analytic professionals on data standards and practices<br />- Foster a culture of sharing, re-use, design for scale stability, and operational efficiency of data and analytical solutions<br />- Lead the evaluation, implementation and deployment of emerging tools and process for analytic data engineering in order to improve our productivity as a team<br />- Develop and deliver communication and education plans on analytic data engineering capabilities, standards, and processes<br />- Partner with business analysts and solutions architects to develop technical architectures for strategic enterprise projects and initiatives.<br />- Learn about machine learning, data science, computer vision, artificial intelligence, statistics, and/or applied mathematics</p>
 
 <strong>Specifications</strong><br />
 <p>As an Data Engineer, you will work closely with a multidisciplinary Agile team to build high quality data pipelines driving analytic solutions. These solutions will generate insights from our connected data, enabling Mango to advance the data-driven decision-making capabilities of our enterprise. This role requires deep understanding of data architecture, data engineering, data analysis, reporting, and a basic understanding of data science techniques and workflows. The ideal candidate is a skilled data / software engineer with experience creating data products supporting analytic solutions. They are an Agile learner, possess strong problem-solving skills, work as part of a technical, cross functional analytics team, and want to Solve complex data problems and deliver the insights to enable analytics strategy.</p>",ID,OnSite,Remote,Hybrid
533,JAVA,"<p>Job responsibilities</p><p>1. Responsible for the architecture design and research and development of the company's app and other product service side;</p><p></p><p>2. Operation and maintenance of back-end services, performance optimization, etc.</p><p></p><p>3. Coordinating and communication for product development</p><p></p><p>Job Requirements:</p><p></p><p>1. Working experience in live broadcasting industry is preferred, familiar with APP background interface development;Familiar with JavaJ2EE, solid foundation, proficient in common Java technical framework, able to write high-quality concise and clear code;</p><p></p><p>2. Proficient in Spring,SpringBoot, SpringMVC,Mybatis and other open source frameworks, familiar with their implementation principles, familiar with multi threaded programming;</p><p></p><p>3. Familiar with micro-service architecture and Spring Cloud;</p><p></p><p>4. Proficient and effective in using Mysql database, MongoDB, redis, memcached and other common nosql technology;</p><p></p><p>5. Proficient in using Nginx, Tomcat and other WEB service-related open source projects and performance tuning;</p><p></p><p>6. Proficient in common design patterns and design principles;</p><p></p><p>7. Have the ability to analysis and solving problem effectively , have relatively excellent practical ability, big interest on technology, have a certain technical mania;</p><p></p><p>8. Bonus points for having more than 1 million daily information flow experience;</p><p></p><p>9. Strong cross-departmental communication skills are preferred</p><p></p><p>10. Proficient in mandarin and English, fluent in mandarin is preferred</p>",ID,OnSite,Remote,Hybrid
545,Web Progammer,"<div><strong>Requirements:</strong></div><ul><li>Masters/Bachelor Degree/Diploma Qualification in Computer Science or relateddiscipline.</li><li>Preferably 3- 5 years of work experience in C# &amp; web development using .NET MVC and Entity Framework.</li><li>Familiarity with JavaScript, JQuery, Angular JS or any client-side scripting languages.</li><li>Proficiency in SQL including T-SQL Stored Procedures, SSIS &amp; SSRS (preferably MS SQL).</li><li>Familiarity with Web API (SOAP, REST) frameworks and development.</li><li>Familiarity with .Net framework 3.5 or 4.0, AJAX, XML, Web Services, WCF or WWF, IIS.</li><li>Familiarity in Responsive Framework like Bootstrap.Knowledge in Object-Oriented Analysis and Design using UML.</li><li>A good team player with good interpersonal and communication skills.</li><li>Best with FinTech knowledge (Good to have)</li></ul>",ID,OnSite,Remote,Hybrid
584,Customer Service,"- Menjaga sikap positif, empati, dan profesional terhadap pelanggan setiap saat.
<br />- Menanggapi pertanyaan pelanggan dengan segera.
<br />- Berkomunikasi dengan pelanggan melalui berbagai saluran.
<br />- Menerima dan menyelesaikan keluhan pelanggan.
<br />- Memahami keseluruhan produk sehingga Anda dapat menjawab pertanyaan.
<br />- Memproses pesanan, formulir, aplikasi, dan permintaan.
<br />- Menyimpan catatan interaksi pelanggan, transaksi, komentar, dan keluhan.
<br />- Berkomunikasi dan berkoordinasi dengan rekan kerja jika diperlukan.
<br />- Memberikan umpan balik tentang efisiensi proses layanan pelanggan.
<br />- Mengelola tim perwakilan layanan pelanggan junior.
<br />- Memastikan kepuasan pelanggan dan memberikan dukungan pelanggan profesional.",ID,OnSite,Remote,Hybrid
