job_id,details_lang,details_prob,prompt_tokens,completion_tokens,total_tokens,response_time
81,en,0.3041,257,131,388,2.93
82,ja,0.8438,600,373,973,4.95
83,,0.0000,166,40,206,0.91
84,ja,0.2821,186,60,246,1.20
85,es,0.9828,1211,964,2175,15.02
86,ko,0.6744,1518,634,2152,11.64
87,ja,0.1108,201,75,276,1.43
88,ja,0.2411,188,56,244,0.92
90,it,0.8061,372,121,493,2.05
91,zh,0.9453,494,354,848,4.86
93,ja,0.4103,187,59,246,1.39
95,de,0.8888,474,175,649,2.25
96,fr,0.3699,171,45,216,0.92
177,en,0.1885,576,367,943,4.99
178,th,1.0001,773,328,1101,3.83
179,pt,0.9707,2793,2388,5181,32.83
180,en,0.1715,1593,632,2225,9.52
181,fr,0.3628,175,47,222,1.11
182,lv,0.2492,1748,867,2615,10.97
183,it,0.9758,711,465,1176,8.39
184,tl,0.4606,675,232,907,3.58
185,it,0.9711,703,452,1155,8.05
188,en,0.1939,706,378,1084,5.46
189,en,0.1814,753,385,1138,6.25
190,en,0.1979,712,374,1086,4.71
191,lv,0.2505,546,263,809,3.48
192,en,0.1538,721,355,1076,5.42
193,ja,0.9691,1176,750,1926,9.89
195,es,0.7775,692,500,1192,6.35
276,zh,0.9725,450,251,701,3.26
277,es,0.8948,395,229,624,2.87
278,vi,1.0000,1017,669,1686,8.25
279,zh,0.9857,612,458,1070,7.21
280,fr,0.7161,1214,954,2168,16.38
281,de,0.9149,1506,1247,2753,25.18
282,zh,0.6611,408,254,662,3.29
283,zh,0.8106,537,392,929,4.90
284,pt,0.9884,697,484,1181,6.96
285,zh,0.5043,512,368,880,5.16
286,zh,0.9862,462,321,783,3.64
287,zh,0.9541,584,424,1008,5.25
288,fr,0.9239,315,189,504,2.94
289,fr,0.9239,313,175,488,4.13
290,zh,0.5387,435,288,723,3.37
291,zh,0.9438,518,431,949,5.09
292,ja,0.4556,984,753,1737,8.20
293,zh,0.9115,381,261,642,3.25
294,fr,0.9910,1555,1144,2699,14.11
295,fr,0.9844,1388,999,2387,15.52
376,zh,0.9774,604,438,1042,6.52
377,de,0.9874,373,230,603,6.81
378,vi,1.0000,702,448,1150,7.50
379,pl,0.9992,1061,659,1720,8.09
380,es,0.9818,1322,991,2313,16.64
381,tl,0.5024,479,334,813,4.53
382,es,0.9828,612,415,1027,5.75
383,ja,0.4792,1184,955,2139,15.15
384,zh,0.9921,733,567,1300,9.44
385,es,0.9699,655,489,1144,6.88
386,es,0.7757,757,600,1357,10.84
387,ja,0.4435,998,800,1798,16.04
388,es,0.9039,384,237,621,3.79
389,nl,0.9934,830,655,1485,12.43
390,ja,0.6269,859,668,1527,11.89
391,es,0.9822,498,336,834,4.75
392,es,0.7851,621,433,1054,5.66
393,la,0.4044,334,208,542,3.45
394,tl,0.7664,277,121,398,2.32
395,es,0.7751,510,343,853,6.59
476,zh,0.9028,788,582,1370,10.90
477,zh,0.5077,397,272,669,3.47
478,zh,0.9864,1979,1590,3569,26.75
479,zh,0.7940,573,391,964,5.53
480,zh,0.9281,485,339,824,4.57
481,zh,0.9905,420,257,677,3.13
482,zh,0.9872,1259,981,2240,13.04
483,zh,0.9700,423,266,689,4.56
484,zh,0.9982,311,158,469,2.48
485,zh,0.9737,329,200,529,3.18
486,zh,0.7187,525,330,855,5.08
487,zh,0.8415,255,106,361,2.57
488,zh,0.9736,307,169,476,2.55
489,zh,0.9954,470,311,781,6.14
490,zh,0.5389,875,484,1359,6.24
491,zh,0.8910,469,310,779,4.30
492,zh,0.9508,376,207,583,3.07
493,zh,0.9918,1046,718,1764,12.19
494,zh,0.9857,853,602,1455,8.80
495,zh,0.8856,230,92,322,2.25
576,id,0.4318,219,82,301,1.53
577,id,0.7643,289,158,447,2.55
578,id,0.6523,301,166,467,3.06
579,id,0.7347,386,240,626,4.33
580,id,0.8772,309,161,470,2.08
581,id,0.7065,314,163,477,2.15
582,id,0.7307,222,84,306,1.98
583,id,0.7074,267,133,400,3.97
585,id,0.7963,380,197,577,3.55
586,id,0.5678,453,279,732,3.86
587,id,0.8061,354,200,554,2.63
588,id,0.8344,527,353,880,5.71
589,id,0.7993,469,284,753,4.93
590,id,0.7326,442,287,729,4.07
591,id,0.8132,505,320,825,4.49
592,id,0.6744,337,184,521,3.47
593,id,0.8034,336,187,523,3.67
609,en,0.2743,535,394,929,8.90
676,ms,0.4223,567,397,964,5.29
677,ms,0.4664,497,311,808,4.61
678,ms,0.5308,481,281,762,4.45
679,ms,0.4530,397,241,638,3.84
680,ms,0.4743,788,554,1342,12.21
681,id,0.4874,462,266,728,4.79
682,id,0.5060,585,378,963,8.15
683,id,0.1921,276,124,400,2.10
684,es,0.9776,278,135,413,4.34
685,ms,0.4980,253,108,361,1.57
686,ms,0.5228,394,246,640,4.05
687,ms,0.4249,505,337,842,5.04
688,id,0.4785,399,249,648,3.80
689,id,0.4132,327,196,523,3.10
690,ms,0.5281,368,194,562,3.06
691,id,0.5060,592,388,980,6.65
692,ms,0.4514,398,240,638,3.79
693,id,0.5411,215,80,295,1.49
694,ms,0.5573,334,155,489,2.08
695,id,0.4794,545,366,911,7.90
713,en,0.4998,1091,871,1962,11.96
743,en,0.4746,1041,890,1931,11.02
763,en,0.4691,338,199,537,4.41
776,th,1.0001,565,323,888,4.57
777,th,1.0001,1166,562,1728,7.12
778,th,1.0000,702,485,1187,7.13
779,th,1.0000,427,221,648,2.88
780,th,1.0001,563,304,867,3.67
781,th,1.0001,792,381,1173,6.20
782,th,1.0000,432,193,625,2.40
783,th,0.9792,853,602,1455,8.29
784,th,1.0001,1356,721,2077,9.52
785,th,0.9999,258,112,370,1.93
786,th,1.0001,275,116,391,1.91
787,th,1.0001,260,78,338,1.39
788,th,0.9999,494,252,746,3.37
789,th,0.9988,1328,892,2220,13.23
790,th,1.0000,430,247,677,4.17
791,th,0.4759,1087,866,1953,12.39
792,th,1.0000,837,484,1321,6.86
793,th,1.0000,1060,561,1621,8.65
794,th,1.0001,396,198,594,2.81
795,th,1.0000,217,75,292,2.02
