job_id,details_lang,details_prob,prompt_tokens,completion_tokens,total_tokens,response_time
71611666,zh,0.9133,520,362,882,8.90
72587279,zh,0.8877,381,237,618,5.72
74101855,zh,0.9851,2072,1660,3732,35.38
64575692,id,0.9055,649,442,1091,9.74
72533336,zh,0.9107,379,239,618,9.92
51705654,vi,1.0001,839,447,1286,11.30
54123452,en,0.1627,1496,558,2054,10.54
55477174,ja,0.3030,212,80,292,2.03
78759145,id,0.6092,1405,937,2342,19.25
72603001,zh,0.8682,385,252,637,6.54
73589713,zh,0.9571,546,353,899,7.06
75987930,ms,0.4505,346,186,532,3.93
74842415,id,0.5566,766,503,1269,11.21
71853734,zh,0.8306,774,573,1347,9.96
72507683,zh,0.9485,414,276,690,4.92
74670206,zh,0.9861,2040,1634,3674,29.75
71560583,id,0.5257,354,200,554,3.86
73528895,zh,0.7116,568,366,934,8.41
78732080,zh,0.9946,417,275,692,6.79
70777722,id,0.5591,550,385,935,7.64
75897823,th,1.0000,421,245,666,4.91
72607619,zh,0.7432,402,266,668,4.81
76162904,en,0.4004,290,89,379,1.94
74174374,zh,0.5651,538,316,854,5.63
68022642,id,0.4876,352,191,543,4.66
75098651,zh,0.9859,1942,1545,3487,29.96
73369483,zh,0.9752,535,328,863,6.27
72096770,zh,0.8495,335,212,547,4.78
71560280,ms,0.4609,412,248,660,8.14
72169027,id,0.2914,545,376,921,7.83
72552270,zh,0.6765,362,226,588,4.60
71737783,id,0.3428,795,571,1366,11.15
74126829,th,1.0000,300,135,435,2.38
52567369,en,0.1882,1153,454,1607,9.44
78980246,zh,0.6229,684,514,1198,10.49
73463846,th,1.0000,531,308,839,5.32
73985985,zh,0.9834,2032,1657,3689,37.72
78846670,th,1.0000,458,239,697,4.57
74365012,id,0.4696,871,636,1507,13.92
77461268,ms,0.6124,556,376,932,6.47
67908592,id,0.5287,305,165,470,2.94
78660883,zh,0.9929,430,260,690,4.39
73926772,zh,0.9843,2141,1691,3832,31.31
75020746,th,1.0000,454,241,695,4.17
77435699,th,1.0000,1012,551,1563,9.03
79270032,zh,0.9959,452,289,741,5.03
70156522,id,0.5134,609,393,1002,7.12
55079198,fr,0.7758,2542,1099,3641,20.31
76292044,zh,0.9841,2044,1657,3701,28.64
78479749,ms,0.5230,569,389,958,11.48
74509958,th,0.9991,1331,976,2307,18.85
51473831,it,0.9758,711,463,1174,8.48
74171680,zh,0.4598,457,287,744,6.64
70689849,ms,0.3734,537,362,899,7.85
75236890,th,0.9996,385,191,576,3.85
78807708,ms,0.6124,556,376,932,7.33
76170219,ms,0.3023,593,419,1012,10.33
79314641,th,0.9997,482,265,747,6.27
73849592,zh,0.9532,759,604,1363,11.43
72467504,zh,0.8780,406,266,672,6.85
51244877,en,0.2656,233,107,340,2.18
75960850,ms,0.5263,567,365,932,7.32
71153501,zh,0.9618,706,495,1201,14.01
78954729,zh,0.9846,490,340,830,6.30
76754371,zh,0.9982,344,196,540,4.35
73591602,zh,0.9834,2034,1621,3655,30.70
72610384,zh,0.8895,385,250,635,4.80
72628323,zh,0.9384,369,242,611,4.30
75497756,th,0.7288,476,291,767,6.14
55958359,en,0.1939,706,379,1085,5.83
73718239,zh,0.8309,469,339,808,7.27
75711378,id,0.2660,507,332,839,6.25
77526928,zh,0.9847,2006,1595,3601,31.71
51287754,ko,0.7948,1068,446,1514,7.47
76896224,id,0.4872,871,710,1581,12.17
75344177,zh,0.9082,441,259,700,5.52
56404988,ja,0.3808,231,102,333,2.81
71332029,en,0.3324,1064,930,1994,19.26
72527379,ms,0.4609,412,248,660,4.73
72628899,zh,0.8536,398,274,672,5.49
68842164,id,0.4849,344,167,511,3.56
56694915,en,0.2079,210,77,287,1.49
72527375,ms,0.4609,411,247,658,4.29
75404317,zh,0.9922,421,289,710,4.92
71671591,ms,0.3866,640,433,1073,9.37
76300851,th,0.9998,491,255,746,6.38
72595154,zh,0.8771,384,252,636,5.02
71560490,ms,0.4609,410,246,656,5.11
79116447,zh,0.9830,872,621,1493,12.70
67999454,id,0.5701,417,250,667,4.75
72909988,ms,0.3866,630,423,1053,9.23
73055511,zh,0.8521,630,477,1107,8.52
73756277,th,0.9999,880,521,1401,9.09
72527339,ms,0.4609,410,246,656,4.91
79032005,zh,0.9828,421,277,698,5.02
76890371,zh,0.9895,613,428,1041,8.50
74124784,zh,0.9846,2030,1616,3646,35.62
72508067,zh,0.5218,429,295,724,6.45
75393038,zh,0.9700,2014,1629,3643,34.20
75486585,th,0.6592,772,601,1373,12.79
74336703,zh,0.9854,2010,1618,3628,27.95
72552741,zh,0.8716,403,276,679,5.59
70212801,id,0.2598,368,241,609,4.09
77045604,zh,0.4706,462,293,755,5.08
77935128,zh,0.9843,2101,1688,3789,32.60
78073024,zh,0.9919,416,257,673,4.93
74500790,zh,0.9847,2205,1749,3954,27.20
72556281,zh,0.7852,405,275,680,4.86
78732368,zh,0.9845,496,308,804,6.12
77490687,zh,0.9855,1989,1607,3596,32.15
72501657,zh,0.8510,412,276,688,5.42
74427508,th,1.0000,463,243,706,4.39
72573905,zh,0.7887,365,241,606,3.87
76981901,zh,0.9887,367,202,569,3.70
60485358,ms,0.4387,432,275,707,3.87
73018659,zh,0.7717,847,682,1529,10.24
74122797,zh,0.9863,1988,1596,3584,28.39
78446710,ms,0.4693,654,451,1105,9.07
72512850,en,0.4714,778,589,1367,9.30
76074001,zh,0.9812,2105,1695,3800,30.01
73112959,zh,0.7750,379,242,621,3.78
73214024,ms,0.3246,657,492,1149,8.59
74870038,zh,0.9854,2089,1657,3746,27.31
72620454,zh,0.7882,402,264,666,5.76
78205086,en,0.4817,769,615,1384,16.30
78060259,th,1.0000,550,290,840,5.00
74339510,ms,0.4017,437,267,704,4.91
77296280,zh,0.9863,1999,1601,3600,35.62
77818116,zh,0.9794,2042,1617,3659,33.77
75442307,zh,0.9843,2000,1590,3590,28.03
74695181,th,0.9999,880,520,1400,9.82
78898117,th,1.0000,482,308,790,6.13
77454972,ms,0.3877,634,430,1064,6.61
78766148,ms,0.4198,614,448,1062,8.15
75987989,ms,0.5407,491,308,799,4.50
73214157,ms,0.3246,644,470,1114,9.00
77904739,zh,0.9769,523,361,884,5.63
59861733,ms,0.6207,653,468,1121,6.75
71151149,zh,0.9209,358,185,543,8.51
72535141,zh,0.6636,396,262,658,6.32
74364750,th,1.0000,753,521,1274,10.56
77459750,ms,0.4101,599,394,993,6.55
79373531,zh,0.9961,453,288,741,5.77
